ticker,event_date,exit_date,direction,stk_open,stk_close,spy_open,spy_close,perf_delta,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
SNDR,2024-07-30,2024-08-02,-1,26.389999389648438,27.65999984741211,546.260009765625,542.0,0.05592280993883517,9473,-12030.714336395264,-12220.174336395263,-0.048882170807085304,249992.46421813965,4
GTES,2024-07-19,2024-07-22,-1,17.219999313354492,17.549999237060547,552.4199829101562,548.989990234375,0.02537279017692481,14518,-4790.938892364502,-5081.298892364502,-0.020325199631954803,249999.95003128052,4
PTGX,2024-07-02,2024-07-05,1,35.61000061035156,33.720001220703125,543.7000122070312,549.010009765625,-0.06284137148183692,7020,-13267.795715332031,-13408.19571533203,-0.053636600868049826,249982.20428466797,4
SRPT,2024-05-31,2024-06-03,1,125.4800033569336,124.2300033569336,523.5900268554688,527.3699951171875,-0.01718107485522968,1992,-2490.0,-2529.84,-0.010121134571437866,249956.16668701172,4
AAON,2024-05-07,2024-05-10,-1,76.2699966430664,77.29000091552734,517.5599975585938,517.1400146484375,0.014185065072135686,3277,-3342.554000854492,-3408.094000854492,-0.013635824285243138,249936.7789993286,4
MARA,2024-05-07,2024-05-10,1,20.09000015258789,17.15999984741211,517.5599975585938,517.1400146484375,-0.14503225031797795,12444,-36460.92379760742,-36709.80379760742,-0.14683923756943212,249999.9618988037,4
DOCN,2024-05-06,2024-05-09,1,34.810001373291016,32.58000183105469,513.75,516.5700073242188,-0.0695511008083446,7181,-16013.626712799072,-16157.246712799073,-0.06463658297820998,249970.61986160278,4
IAC,2024-05-03,2024-05-06,-1,44.22477340698242,45.73420715332031,511.1600036621094,511.2900085449219,0.03387662184361726,5652,-8531.319534301758,-8644.359534301759,-0.034583190110735906,249958.41929626465,4
CNS,2024-04-22,2024-04-25,1,72.0,69.86000061035156,497.8299865722656,499.7200012207031,-0.033518719981012926,3472,-7430.077880859375,-7499.517880859375,-0.029999991522894964,249984.0,4
DUOL,2024-04-19,2024-04-22,-1,203.99000549316406,205.57000732421875,499.44000244140625,495.1600036621094,0.0163150819507886,1225,-1935.5022430419922,-1960.0022430419922,-0.007843530506244853,249887.75672912598,4
CXM,2024-03-01,2024-03-04,-1,13.149999618530273,13.5600004196167,508.9800109863281,512.8499755859375,0.023575396585200636,19011,-7794.5252294540405,-8174.745229454041,-0.03269968163957144,249994.64274787903,4
BTU,2024-01-22,2024-01-25,-1,26.100000381469727,26.739999771118164,484.010009765625,483.45001220703125,0.02567804487436898,9578,-6129.914154052734,-6321.474154052735,-0.02528733256712972,249985.80365371704,4
CNM,2023-11-10,2023-11-13,1,31.760000228881836,31.940000534057617,435.9800109863281,440.6099853515625,-0.0049521782688546736,7871,1416.7824020385742,1259.3624020385741,0.005037792947818701,249982.96180152893,4
BURL,2023-11-06,2023-11-09,1,132.13999938964844,130.75999450683594,435.4700012207031,435.69000244140625,-0.010948710126580777,1891,-2609.5892333984375,-2647.4092333984377,-0.01059486067261306,249876.7388458252,4
LULU,2023-10-17,2023-10-20,1,415.0,395.82000732421875,432.80999755859375,436.0199890136719,-0.053633479458148454,602,-11546.355590820312,-11558.395590820313,-0.04626504259224398,249830.0,4
NATL,2023-10-16,2023-10-19,-1,21.5,22.100000381469727,433.82000732421875,436.0400085449219,0.022789661991406737,359,-215.40013694763184,-222.58013694763184,-0.028837227045103563,7718.5,4
NATL,2023-10-16,2023-10-19,-1,21.5,22.100000381469727,433.82000732421875,436.0400085449219,0.022789661991406737,359,-215.40013694763184,-222.58013694763184,-0.028837227045103563,7718.5,4
DLB,2023-08-21,2023-08-24,1,84.80999755859375,82.83999633789062,437.54998779296875,439.3399963378906,-0.02731938861643146,2947,-5805.593597412109,-5864.533597412109,-0.02346422919453886,249935.06280517578,4
ERIE,2023-08-07,2023-08-10,-1,276.0,287.7099914550781,448.7099914550781,450.7099914550781,0.0379702833734984,905,-10597.542266845703,-10615.642266845703,-0.042499969040138134,249780.0,4
MSGS,2023-07-31,2023-08-03,1,212.25,211.94000244140625,457.4100036621094,457.7900085449219,-0.0022913055016410763,1177,-364.86712646484375,-388.40712646484377,-0.001554758815518257,249818.25,4
ELS,2023-07-21,2023-07-24,-1,71.36000061035156,71.5999984741211,453.9599914550781,452.17999267578125,0.007284246432419329,3503,-840.712516784668,-910.7725167846679,-0.0036434677907193802,249974.08213806152,4
PRVA,2023-06-13,2023-06-16,1,28.489999771118164,25.200000762939453,435.32000732421875,436.6600036621094,-0.11855726848018745,8775,-28869.74129676819,-29045.24129676819,-0.11618108230152512,249999.7479915619,4
EXPI,2023-06-13,2023-06-16,-1,19.34000015258789,19.649999618530273,435.32000732421875,436.6600036621094,0.012950740905660158,12926,-4007.0530967712402,-4265.573096771241,-0.017063053947195834,249988.84197235107,4
CTKB,2023-04-28,2023-05-01,-1,10.850000381469727,11.75,411.489990234375,415.92999267578125,0.0721592088403139,18206,-16385.39305496216,-16749.513054962157,-0.08479258858843021,197535.10694503784,4
NABL,2023-03-31,2023-04-03,1,13.399999618530273,13.199999809265137,404.6600036621094,409.3900146484375,-0.026614211555599246,12828,-2565.597553253174,-2822.157553253174,-0.01641789668119905,171895.19510650635,4
CERT,2023-03-21,2023-03-24,-1,23.40999984741211,23.649999618530273,397.239990234375,398.9100036621094,0.006047977778413264,10679,-2562.957555770874,-2776.537555770874,-0.011106355096662083,249995.38837051392,4
CVI,2023-03-20,2023-03-23,1,29.950000762939453,30.040000915527344,390.79998779296875,393.739990234375,-0.004518022799442345,8347,751.231273651123,584.291273651123,0.0023372337497403264,249992.65636825562,4
ALV,2023-03-17,2023-03-20,1,88.44999694824219,86.66999816894531,393.2200012207031,389.989990234375,-0.011910091807716966,2826,-5030.276550292969,-5086.796550292969,-0.02035046739854803,249959.69137573242,4
ARMK,2023-03-17,2023-03-20,-1,24.158845901489258,24.122743606567383,393.2200012207031,389.989990234375,0.006719887461948641,10348,373.5865478515625,166.6265478515625,0.0006665175558275482,249995.73738861084,4
AXTA,2023-03-17,2023-03-20,1,28.15999984741211,27.889999389648438,393.2200012207031,389.989990234375,-0.0013738253565267165,8877,-2396.7940635681152,-2574.334063568115,-0.01029831176616014,249976.3186454773,4
CHRD,2023-03-17,2023-03-20,-1,123.77999877929688,126.02999877929688,393.2200012207031,389.989990234375,0.026391670848918296,2019,-4542.75,-4583.13,-0.018338988708890457,249911.8175354004,4
HGV,2023-03-17,2023-03-20,-1,42.70000076293945,43.2400016784668,393.2200012207031,389.989990234375,0.02086065037143975,5854,-3161.1653594970703,-3278.2453594970702,-0.013114775304954666,249965.80446624756,4
HTZ,2023-03-17,2023-03-20,1,16.110000610351562,15.40999984741211,393.2200012207031,389.989990234375,-0.03523705908040431,15518,-10862.611839294434,-11172.971839294434,-0.04469278309504303,249994.98947143555,4
SSB,2023-03-17,2023-03-20,1,74.80000305175781,72.3499984741211,393.2200012207031,389.989990234375,-0.024539811424151216,3342,-8187.915298461914,-8254.755298461914,-0.03302145022544452,249981.6101989746,4
STWD,2023-03-17,2023-03-20,1,17.190000534057617,17.0,393.2200012207031,389.989990234375,-0.002838709345982149,14543,-2763.1777667999268,-3054.037766799927,-0.01221643557494687,249994.17776679993,4
USFD,2023-03-17,2023-03-20,-1,34.400001525878906,34.66999816894531,393.2200012207031,389.989990234375,0.016062998408935054,7267,-1962.0656051635742,-2107.4056051635744,-0.008430134598925632,249984.811088562,4
VAL,2023-03-17,2023-03-20,-1,61.33000183105469,62.220001220703125,393.2200012207031,389.989990234375,0.022725906990171955,4076,-3627.6375122070312,-3709.1575122070312,-0.01483775252698029,249981.0874633789,4
WMS,2023-03-17,2023-03-20,1,80.38999938964844,75.95999908447266,393.2200012207031,389.989990234375,-0.04689210159352563,3109,-13772.870948791504,-13835.050948791504,-0.05535514789105464,249932.508102417,4
AUB,2023-03-17,2023-03-20,1,35.95000076293945,34.58000183105469,393.2200012207031,389.989990234375,-0.029894194352625816,6954,-9526.97257232666,-9666.05257232666,-0.03866478170753486,249996.30530548096,4
KW,2023-03-17,2023-03-20,1,17.290000915527344,16.139999389648438,393.2200012207031,389.989990234375,-0.05829826053061354,14459,-16627.872062683105,-16917.052062683106,-0.06766925760126377,249996.12323760986,4
RDN,2023-03-17,2023-03-20,-1,20.979999542236328,20.93000030517578,393.2200012207031,389.989990234375,0.005831073329841183,11916,595.7909088134766,357.47090881347657,0.0014298969358961747,249997.6745452881,4
BG,2023-03-14,2023-03-17,1,100.7300033569336,92.11000061035156,390.5,391.7300109863281,-0.08872516079518145,2481,-21386.22681427002,-21435.84681427002,-0.08577387529678177,249911.13832855225,4
PODD,2023-03-14,2023-03-17,-1,307.0,309.0899963378906,390.5,391.7300109863281,0.003657969588338301,814,-1701.2570190429688,-1717.5370190429687,-0.006872952240686075,249898.0,4
VRRM,2023-02-28,2023-03-03,-1,17.049999237060547,17.719999313354492,397.2300109863281,396.260009765625,0.041738107150229554,14662,-9823.541118621826,-10116.781118621826,-0.040469214496745204,249987.08881378174,4
CRK,2023-02-03,2023-02-06,1,12.020000457763672,11.350000381469727,411.5899963378906,412.3500061035156,-0.05758695830810786,20798,-13934.661586761475,-14350.621586761474,-0.057404330284220324,249991.96952056885,4
DV,2023-01-30,2023-02-02,-1,27.399999618530273,28.139999389648438,402.79998779296875,400.5899963378906,0.03249386408828694,9124,-6751.757911682129,-6934.2379116821285,-0.02773721831018515,249997.59651947021,4
ALGM,2022-12-16,2022-12-19,1,30.5,29.729999542236328,385.17999267578125,383.2699890136719,-0.020287186448009493,8196,-6310.923751831055,-6474.843751831055,-0.025901654352907276,249978.0,4
CUBE,2022-12-16,2022-12-19,1,41.65999984741211,39.65999984741211,385.17999267578125,383.2699890136719,-0.043048951204854406,6000,-12000.0,-12120.0,-0.048487758218882494,249959.99908447266,4
CWK,2022-12-16,2022-12-19,1,11.65999984741211,11.079999923706055,385.17999267578125,383.2699890136719,-0.04478397402782377,21440,-12435.198364257812,-12863.998364257812,-0.0514579701164595,249990.39672851562,4
SJW,2022-12-16,2022-12-19,-1,76.54000091552734,77.87000274658203,385.17999267578125,383.2699890136719,0.022335289060000298,3266,-4343.785980224609,-4409.105980224609,-0.017637860137271286,249979.6429901123,4
FSLR,2022-12-16,2022-12-19,1,158.69000244140625,156.77000427246094,385.17999267578125,383.2699890136719,-0.007140319137764394,1575,-3023.997116088867,-3055.497116088867,-0.012225081221872347,249936.75384521484,4
ACGL,2022-10-31,2022-11-03,-1,56.31999969482422,56.529998779296875,386.44000244140625,386.2099914550781,0.004323881854798819,4438,-931.9759368896484,-1020.7359368896484,-0.004083790584498051,249948.15864562988,4
RXO,2022-10-31,2022-11-03,1,25.5,16.020000457763672,386.44000244140625,386.2099914550781,-0.3711694830222478,268,-2540.639877319336,-2545.999877319336,-0.3725490016563266,6834.0,4
WLK,2022-10-17,2022-10-20,1,92.01000213623047,89.87999725341797,364.010009765625,366.82000732421875,-0.03086927140637013,2717,-5787.2232666015625,-5841.563266601563,-0.023367077849092886,249991.17580413818,4
TRGP,2022-10-11,2022-10-14,-1,62.90999984741211,64.95999908447266,358.239990234375,357.739990234375,0.033981934664176795,3973,-8144.646968841553,-8224.106968841552,-0.03290413673631091,249941.4293937683,4
LNTH,2022-10-11,2022-10-14,-1,66.54000091552734,68.83999633789062,358.239990234375,357.739990234375,0.0359613179208758,3757,-8641.082801818848,-8716.222801818847,-0.03486617659216025,249990.78343963623,4
PAYO,2022-10-11,2022-10-14,-1,7.400000095367432,7.46999979019165,358.239990234375,357.739990234375,0.010855130507222449,33783,-2364.799690246582,-3040.459690246582,-0.012162120765452504,249994.20322179794,4
FYBR,2022-09-30,2022-10-03,-1,23.06999969482422,23.950000762939453,361.79998779296875,357.17999267578125,0.05091429640859986,10836,-9535.69157409668,-9752.411574096679,-0.039011750325993744,249986.51669311523,4
PCG,2022-09-30,2022-10-03,-1,12.539999961853027,13.109999656677246,361.79998779296875,357.17999267578125,0.05822399409539657,19936,-11363.513916015625,-11762.233916015624,-0.04704941759322261,249997.43923950195,4
MCW,2022-09-30,2022-10-03,-1,8.619999885559082,8.710000038146973,361.79998779296875,357.17999267578125,0.023210325945811836,29002,-2610.184425354004,-3190.224425354004,-0.012761038752700187,249997.2366809845,4
XPER,2022-09-30,2022-10-03,1,21.049999237060547,14.970000267028809,361.79998779296875,357.17999267578125,-0.2760665932133104,153,-930.239842414856,-933.2998424148559,-0.2897861848513564,3220.6498832702637,4
LESL,2022-09-27,2022-09-30,-1,14.710000038146973,14.710000038146973,368.0199890136719,363.3800048828125,0.01260796769027402,16995,-0.0,-339.90000000000003,-0.0013596193030682964,249996.4506483078,4
CSGP,2022-09-16,2022-09-19,-1,71.06999969482422,72.06999969482422,384.1400146484375,385.55999755859375,0.010374110316347199,3517,-3517.0,-3587.34,-0.014352047338960143,249953.18892669678,4
INVH,2022-09-16,2022-09-19,1,36.70000076293945,36.72999954223633,384.1400146484375,385.55999755859375,-0.0028791189162522593,6811,204.32168579101562,68.10168579101563,0.0002724462967034052,249963.70519638062,4
DT,2022-09-16,2022-09-19,1,37.70000076293945,37.099998474121094,384.1400146484375,385.55999755859375,-0.019611704082372283,6631,-3978.615177154541,-4111.235177154541,-0.016445683720724098,249988.7050590515,4
NLY,2022-09-16,2022-09-19,-1,24.479999542236328,24.68000030517578,384.1400146484375,385.55999755859375,0.004473441629432303,10212,-2042.4077911376953,-2246.647791137695,-0.008986959438454113,249989.75532531738,4
OUT,2022-09-16,2022-09-19,1,18.452869415283203,18.493852615356445,384.1400146484375,385.55999755859375,-0.0014755580858569978,13548,555.2403945922852,284.2803945922852,0.0011371239670651596,249999.47483825684,4
MTSI,2022-08-16,2022-08-19,1,64.0999984741211,60.36000061035156,427.7300109863281,429.70001220703125,-0.06295201386043218,3900,-14585.991668701172,-14663.991668701172,-0.058658314403666395,249989.99404907227,4
CELH,2022-08-09,2022-08-12,-1,33.32666778564453,35.0533332824707,412.2200012207031,411.3500061035156,0.05392083688604693,7501,-12951.717891693115,-13101.737891693116,-0.052410445234448204,249983.33506011963,4
CLFD,2022-08-09,2022-08-12,-1,110.3499984741211,118.23999786376953,412.2200012207031,411.3500061035156,0.07361028056119402,2265,-17870.84861755371,-17916.14861755371,-0.07168101041255079,249942.74654388428,4
MP,2022-07-26,2022-07-29,-1,30.780000686645508,33.56999969482422,393.8399963378906,390.8900146484375,0.09813354559784218,8122,-22660.37194442749,-22822.81194442749,-0.09129301317390427,249995.1655769348,4
NOVT,2022-07-25,2022-07-28,-1,150.39999389648438,151.25,395.75,395.57000732421875,0.006106450645071072,1662,-1412.7101440429688,-1445.9501440429688,-0.0057846152847215076,249964.78985595703,4
GRBK,2022-07-19,2022-07-22,-1,23.600000381469727,25.200000762939453,386.0799865722656,392.2699890136719,0.051763671816826104,10593,-16948.804040908813,-17160.664040908814,-0.06864408285102064,249994.8040409088,4
FTDR,2022-07-05,2022-07-08,1,24.700000762939453,25.06999969482422,375.8800048828125,381.9599914550781,-0.0011956258073435883,10121,3744.759189605713,3542.339189605713,0.014169996804611984,249988.7077217102,4
POR,2022-06-28,2022-07-01,-1,48.31999969482422,49.81999969482422,390.2300109863281,380.6499938964844,0.05559271423717736,5173,-7759.5,-7862.96,-0.031456953841057546,249959.35842132568,4
APPS,2022-06-28,2022-07-01,-1,17.600000381469727,17.190000534057617,390.2300109863281,380.6499938964844,0.0012542223127293035,14204,5823.637832641602,5539.557832641602,0.022159081759039235,249990.405418396,4
VICI,2022-06-07,2022-06-10,1,32.02000045776367,29.940000534057617,408.1000061035156,415.739990234375,-0.08368025963775791,7807,-16238.559404373169,-16394.69940437317,-0.06558400667345655,249980.143573761,4
DVAX,2022-05-16,2022-05-19,-1,9.479999542236328,11.180000305175781,399.9800109863281,400.0899963378906,0.17905000653252398,26371,-44830.72011947632,-45358.14011947632,-0.18143468839595592,249997.0679283142,4
